Movie,Year,Pass/Fail,Ranking,Categorisation
Black Sheep,2006,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Black Sunday,1960,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Black Swan,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Black Venus,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Black Water,2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Black Widow,1987,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Black Widow,2021,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Black and White,1999,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Blackfish,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Blackhat,2015,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Blackmail,1929,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Blacksmith Scene,1893,Fail,5,Fewer than two women in this movie
Blacksmith Scene,1895,Fail,5,Fewer than two women in this movie
Blackthorn,2011,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Blacula,1972,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Blade,1998,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Blade II,2002,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Blade Runner,1982,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Blade Runner 2049,2017,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Blade: Trinity,2004,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Blades of Glory,2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Blair Witch,2016,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Blame It on Rio,1984,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Blast from the Past,1999,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Blazing Saddles,1974,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Bleach Movie 2: The Diamond Dust Rebellion,2007,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
"Bleach: Fade to Black, I Call Your Name",2008,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bleach: Memories of Nobody,2006,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Blended,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bless the Child,2000,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Blessed,2004,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Bletchley Circle,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Blind Fury,1989,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Blind Loves,2008,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Blindness,2008,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Blindspotting,2018,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Blinkende lygter ('Flickering Lights'),2000,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Bliss!,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
